,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_learning_rate,params_momentum,params_n_channels,params_optimizer,params_weight_decay,system_attrs_fixed_params,state
57,57,0.27526921033859253,2021-06-21 23:54:54.835607,2021-06-21 23:54:55.051815,0 days 00:00:00.216208000,64,0.0009295727046969668,0.9276349532505853,9,Adam,4.8998885198657946e-06,,PRUNED
58,58,0.2148309350013733,2021-06-21 23:54:55.051815,2021-06-21 23:54:55.252367,0 days 00:00:00.200552000,78,0.0001393993336917162,0.9558196121665958,5,Adam,1.6694966842800675e-05,,PRUNED
59,59,0.2736563980579376,2021-06-21 23:54:55.252367,2021-06-21 23:54:55.468542,0 days 00:00:00.216175000,82,6.762715575347294e-05,0.8663744944191343,8,sgd,2.0621649357161634e-05,,PRUNED
60,60,0.18370966613292694,2021-06-21 23:54:55.468542,2021-06-21 23:54:55.684738,0 days 00:00:00.216196000,100,0.001536367925591362,0.896440436356497,10,Adam,1.1979132462543748e-05,,PRUNED
61,61,0.2765839695930481,2021-06-21 23:54:55.684738,2021-06-21 23:54:55.923058,0 days 00:00:00.238320000,64,0.0002871420161389818,0.7833318038752646,6,Adam,3.902417658863877e-06,,PRUNED
62,62,0.20825491845607758,2021-06-21 23:54:55.923058,2021-06-21 23:54:56.139246,0 days 00:00:00.216188000,73,0.00019152976225150875,0.7420438966072669,6,Adam,4.446523642721336e-06,,PRUNED
63,63,0.2348857820034027,2021-06-21 23:54:56.139246,2021-06-21 23:54:56.324158,0 days 00:00:00.184912000,56,0.00011018419100887793,0.8243196773181052,5,Adam,2.176970382009169e-06,,PRUNED
64,64,0.27652251720428467,2021-06-21 23:54:56.324158,2021-06-21 23:54:56.540355,0 days 00:00:00.216197000,48,8.733325071021599e-05,0.6916458327455021,6,Adam,6.469928580037563e-06,,PRUNED
65,65,0.219596266746521,2021-06-21 23:54:56.555983,2021-06-21 23:54:56.772174,0 days 00:00:00.216191000,59,0.002834552702489319,0.7677458357750255,6,Adam,3.284756108835792e-06,,PRUNED
66,66,0.2069760262966156,2021-06-21 23:54:56.772174,2021-06-21 23:54:56.972722,0 days 00:00:00.200548000,66,0.00030274882747771616,0.8456350467154311,7,Adam,4.328962380771652e-06,,PRUNED
